@relation Pumpkin_Seeds_Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P40.0

@attribute Area numeric
@attribute Perimeter numeric
@attribute Major_Axis_Length numeric
@attribute Minor_Axis_Length numeric
@attribute Convex_Area numeric
@attribute Equiv_Diameter numeric
@attribute Eccentricity numeric
@attribute Solidity numeric
@attribute Extent numeric
@attribute Roundness numeric
@attribute Aspect_Ration numeric
@attribute Compactness numeric
@attribute Class {CERCEVELIK,URGUP_SIVRISI}

@data
89885,1264.825,543.0948,212.0397,90934,338.2974,0.9206,0.9885,0.5199,0.7061,2.5613,0.6229,URGUP_SIVRISI
60553,971.568,364.0242,217.2455,61707,277.6661,0.8024,0.9813,0.6819,0.8061,1.6756,0.7628,URGUP_SIVRISI
84329,1139.891,461.9137,233.7635,84990,327.6752,0.8625,0.9922,0.679,0.8156,1.976,0.7094,URGUP_SIVRISI
72684,1061.561,420.4868,221.3766,73535,304.2107,0.8502,0.9884,0.728,0.8105,1.8994,0.7235,CERCEVELIK
68713,1027.706,401.2474,218.9231,69503,295.7839,0.838,0.9886,0.6857,0.8175,1.8328,0.7372,CERCEVELIK
80251,1143.501,474.8035,216.4293,81135,319.6541,0.8901,0.9891,0.6204,0.7712,2.1938,0.6732,URGUP_SIVRISI
76723,1067.295,415.4005,236.4114,77651,312.5488,0.8223,0.988,0.7162,0.8464,1.7571,0.7524,CERCEVELIK
69671,1035.342,415.3868,214.1642,70211,297.8387,0.8568,0.9923,0.6843,0.8168,1.9396,0.717,CERCEVELIK
70729,1099.482,469.404,192.5229,71327,300.0916,0.912,0.9916,0.649,0.7352,2.4382,0.6393,URGUP_SIVRISI
84253,1193.276,502.8338,213.714,85011,327.5275,0.9052,0.9911,0.6348,0.7436,2.3528,0.6514,URGUP_SIVRISI
91706,1171.369,453.4358,259.014,92969,341.707,0.8208,0.9864,0.7035,0.8399,1.7506,0.7536,CERCEVELIK
73152,1065.501,423.9322,220.7345,73949,305.1885,0.8537,0.9892,0.6218,0.8097,1.9206,0.7199,CERCEVELIK
64292,971.22,381.2829,215.3336,64894,286.1103,0.8253,0.9907,0.6737,0.8565,1.7707,0.7504,CERCEVELIK
73315,1041.828,398.219,234.9406,73946,305.5283,0.8074,0.9915,0.6966,0.8488,1.695,0.7672,CERCEVELIK
98350,1269.539,526.2346,238.4702,99184,353.8688,0.8914,0.9916,0.5919,0.7668,2.2067,0.6725,URGUP_SIVRISI
99088,1284.605,541.8463,233.7242,99886,355.194,0.9022,0.992,0.6469,0.7546,2.3183,0.6555,URGUP_SIVRISI
73827,1077.447,430.5646,219.4656,74631,306.5933,0.8603,0.9892,0.7265,0.7992,1.9619,0.7121,CERCEVELIK
78148,1058.412,399.5385,250.0895,78916,315.438,0.7799,0.9903,0.7417,0.8766,1.5976,0.7895,CERCEVELIK
74717,1094.608,440.8381,216.1998,75451,308.4358,0.8715,0.9903,0.7234,0.7836,2.039,0.6997,CERCEVELIK
88643,1185.732,482.9578,234.8103,89304,335.952,0.8739,0.9926,0.6905,0.7923,2.0568,0.6956,URGUP_SIVRISI
91455,1203.49,491.3347,237.4701,92255,341.2391,0.8754,0.9913,0.6791,0.7935,2.069,0.6945,CERCEVELIK
90610,1206.725,478.2473,242.492,91747,339.659,0.8619,0.9876,0.7396,0.7819,1.9722,0.7102,URGUP_SIVRISI
97419,1244.635,516.1685,241.2108,98103,352.1899,0.8841,0.993,0.7435,0.7903,2.1399,0.6823,URGUP_SIVRISI
59729,935.054,351.2843,217.6438,60476,275.7704,0.7849,0.9876,0.7135,0.8585,1.614,0.785,CERCEVELIK
68921,1055.062,410.3709,216.9086,69859,296.2312,0.8489,0.9866,0.5871,0.778,1.8919,0.7219,URGUP_SIVRISI
58469,1007.041,430.2003,173.8137,59077,272.8462,0.9147,0.9897,0.746,0.7245,2.4751,0.6342,URGUP_SIVRISI
72800,1039.773,412.7664,225.1811,73462,304.4533,0.8381,0.991,0.6741,0.8462,1.833,0.7376,CERCEVELIK
87120,1173.539,472.9678,235.9258,88305,333.0535,0.8667,0.9866,0.7377,0.7949,2.0047,0.7042,CERCEVELIK
59260,1007.878,413.3942,185.844,60066,274.6856,0.8933,0.9866,0.7395,0.7331,2.2244,0.6645,CERCEVELIK
68426,966.046,353.3552,247.1532,68894,295.1655,0.7147,0.9932,0.736,0.9214,1.4297,0.8353,CERCEVELIK
71508,1102.28,465.5092,197.6884,72272,301.7396,0.9053,0.9894,0.7474,0.7396,2.3548,0.6482,URGUP_SIVRISI
103569,1388.145,603.972,220.3183,104809,363.1365,0.9311,0.9882,0.5145,0.6754,2.7414,0.6012,URGUP_SIVRISI
67063,1007.983,396.5851,215.6198,67816,292.211,0.8393,0.9889,0.6507,0.8294,1.8393,0.7368,CERCEVELIK
50822,917.53,381.4619,170.2289,51648,254.3788,0.8949,0.984,0.6649,0.7586,2.2409,0.6669,URGUP_SIVRISI
79573,1142.268,466.8338,217.69,80552,318.3009,0.8846,0.9878,0.5904,0.7664,2.1445,0.6818,URGUP_SIVRISI
61949,1033.415,439.7728,179.6936,62581,280.8486,0.9127,0.9899,0.6025,0.7289,2.4473,0.6386,URGUP_SIVRISI
69520,1027.513,413.306,214.8984,70205,297.5157,0.8542,0.9902,0.7593,0.8275,1.9233,0.7198,CERCEVELIK
87631,1237.636,531.1878,210.8808,88328,334.0288,0.9178,0.9921,0.569,0.7189,2.5189,0.6288,URGUP_SIVRISI
101360,1318.047,555.9335,233.0345,102401,359.243,0.9079,0.9898,0.7449,0.7332,2.3856,0.6462,CERCEVELIK
62717,997.479,405.5403,198.0148,63319,282.5841,0.8727,0.9905,0.6033,0.7921,2.048,0.6968,URGUP_SIVRISI
76775,1090.25,440.8537,223.2013,77569,312.6547,0.8624,0.9898,0.7419,0.8117,1.9751,0.7092,CERCEVELIK
106453,1331.894,555.5923,245.516,107393,368.1578,0.8971,0.9912,0.7563,0.7541,2.263,0.6626,URGUP_SIVRISI
68331,1002.92,396.5549,220.326,68969,294.9606,0.8314,0.9907,0.7423,0.8537,1.7999,0.7438,CERCEVELIK
80759,1134.33,451.4109,229.5633,82166,320.6642,0.861,0.9829,0.713,0.7887,1.9664,0.7104,CERCEVELIK
67334,1016.587,400.1476,215.1276,68040,292.8008,0.8432,0.9896,0.7422,0.8188,1.86,0.7317,CERCEVELIK
81263,1183.742,510.4193,203.2061,81878,321.6633,0.9173,0.9925,0.7145,0.7288,2.5118,0.6302,URGUP_SIVRISI
68506,1003.804,386.3475,226.9065,69259,295.338,0.8094,0.9891,0.7349,0.8544,1.7027,0.7644,CERCEVELIK
78741,1118.094,451.5192,223.8328,80008,316.6325,0.8685,0.9842,0.7641,0.7915,2.0172,0.7013,CERCEVELIK
91699,1238.423,528.1439,221.7489,92307,341.694,0.9076,0.9934,0.757,0.7513,2.3817,0.647,URGUP_SIVRISI
125697,1403.472,569.1473,282.2073,126538,400.053,0.8684,0.9934,0.6595,0.8019,2.0168,0.7029,URGUP_SIVRISI
66784,1045.219,433.0448,197.2946,67349,291.6025,0.8902,0.9916,0.6877,0.7682,2.1949,0.6734,URGUP_SIVRISI
108918,1398.964,604.7619,229.5318,109782,372.3959,0.9252,0.9921,0.5168,0.6994,2.6348,0.6158,URGUP_SIVRISI
81479,1256.515,555.6465,189.8791,82557,322.0905,0.9398,0.9869,0.7438,0.6485,2.9263,0.5797,URGUP_SIVRISI
68683,1021.57,409.83,214.3968,69337,295.7193,0.8522,0.9906,0.6526,0.827,1.9115,0.7216,CERCEVELIK
60851,1022.811,432.6189,179.6235,61612,278.3485,0.9097,0.9876,0.7435,0.7309,2.4085,0.6434,URGUP_SIVRISI
75155,1169.397,509.586,188.4455,75995,309.3385,0.9291,0.9889,0.6187,0.6906,2.7042,0.607,URGUP_SIVRISI
101525,1240.386,462.7132,280.5295,103105,359.5353,0.7953,0.9847,0.7259,0.8292,1.6494,0.777,CERCEVELIK
82272,1121.769,459.4482,228.278,82865,323.6541,0.8678,0.9928,0.7321,0.8216,2.0127,0.7044,URGUP_SIVRISI
61426,984.224,404.3572,193.8844,61915,279.6605,0.8775,0.9921,0.7527,0.7968,2.0856,0.6916,URGUP_SIVRISI
67481,1076.021,454.9478,190.5834,68105,293.1202,0.908,0.9908,0.6041,0.7324,2.3871,0.6443,URGUP_SIVRISI
83736,1108.281,431.5197,248.0819,84458,326.521,0.8182,0.9915,0.7268,0.8567,1.7394,0.7567,CERCEVELIK
67155,983.199,367.0278,233.8553,67762,292.4114,0.7707,0.991,0.7756,0.873,1.5695,0.7967,CERCEVELIK
88645,1176.996,464.8264,243.8185,89630,335.9558,0.8514,0.989,0.7373,0.8041,1.9064,0.7228,CERCEVELIK
86598,1242.787,534.4844,206.701,87432,332.0542,0.9222,0.9905,0.755,0.7046,2.5858,0.6213,URGUP_SIVRISI
81013,1109.727,425.0978,244.3291,82136,321.1681,0.8183,0.9863,0.6917,0.8267,1.7399,0.7555,CERCEVELIK
82717,1171.963,492.4993,214.9483,83420,324.5282,0.8997,0.9916,0.6853,0.7568,2.2912,0.6589,URGUP_SIVRISI
66682,1004.941,385.9904,221.3974,67537,291.3798,0.8191,0.9873,0.6488,0.8297,1.7434,0.7549,CERCEVELIK
69701,1011.576,387.5061,230.4676,70533,297.9028,0.8039,0.9882,0.7647,0.856,1.6814,0.7688,CERCEVELIK
72812,1076.588,431.6428,216.6459,73814,304.4784,0.8649,0.9864,0.721,0.7894,1.9924,0.7054,CERCEVELIK
81893,1127.301,441.5179,237.5255,83087,322.9077,0.843,0.9856,0.7181,0.8098,1.8588,0.7314,CERCEVELIK
82804,1112.392,434.9627,243.2643,83603,324.6988,0.829,0.9904,0.6944,0.8409,1.788,0.7465,CERCEVELIK
107244,1239.755,474.7988,288.5734,108061,369.5231,0.7941,0.9924,0.7399,0.8768,1.6453,0.7783,CERCEVELIK
68292,982.052,368.6867,237.1654,68891,294.8764,0.7656,0.9913,0.7212,0.8898,1.5546,0.7998,CERCEVELIK
69528,1049.346,414.5252,215.1771,70426,297.5329,0.8547,0.9872,0.6144,0.7935,1.9264,0.7178,CERCEVELIK
68464,1087.833,461.5006,189.4089,69255,295.2475,0.9119,0.9886,0.7156,0.727,2.4365,0.6398,URGUP_SIVRISI
78859,1137.701,470.0002,214.1522,79618,316.8697,0.8902,0.9905,0.7489,0.7656,2.1947,0.6742,URGUP_SIVRISI
61352,964.355,381.3343,206.304,61996,279.492,0.841,0.9896,0.7146,0.829,1.8484,0.7329,CERCEVELIK
109606,1378.055,588.6804,237.4768,110312,373.5702,0.915,0.9936,0.5707,0.7253,2.4789,0.6346,URGUP_SIVRISI
95732,1196.021,471.2567,260.171,96712,349.1272,0.8338,0.9899,0.7269,0.841,1.8113,0.7408,CERCEVELIK
55879,918.363,353.1879,203.1549,56514,266.7346,0.818,0.9888,0.6792,0.8326,1.7385,0.7552,CERCEVELIK
72584,1070.886,429.1372,217.1358,73387,304.0013,0.8625,0.9891,0.6623,0.7954,1.9764,0.7084,CERCEVELIK
72786,1033.419,387.3048,240.8157,73835,304.4241,0.7832,0.9858,0.725,0.8565,1.6083,0.786,CERCEVELIK
90393,1191.564,476.4243,242.591,91357,339.252,0.8607,0.9894,0.6248,0.8,1.9639,0.7121,CERCEVELIK
84810,1213.226,505.6155,214.8625,86020,328.6083,0.9052,0.9859,0.5465,0.7241,2.3532,0.6499,CERCEVELIK
74979,1063.483,415.0854,231.2288,75767,308.9761,0.8305,0.9896,0.6607,0.8331,1.7951,0.7444,CERCEVELIK
108661,1361.128,575.5842,241.9614,109616,371.9563,0.9074,0.9913,0.7392,0.737,2.3788,0.6462,URGUP_SIVRISI
65204,984.469,383.3479,217.1087,65771,288.1325,0.8242,0.9914,0.6678,0.8454,1.7657,0.7516,CERCEVELIK
89861,1190.085,478.7776,239.6083,90943,338.2522,0.8658,0.9881,0.6194,0.7973,1.9982,0.7065,CERCEVELIK
88674,1205.486,503.7622,224.4789,89375,336.0108,0.8952,0.9922,0.7137,0.7668,2.2441,0.667,URGUP_SIVRISI
75834,1057.727,414.1834,234.1856,76458,310.7328,0.8248,0.9918,0.7258,0.8518,1.7686,0.7502,CERCEVELIK
66204,1006.743,320.8446,279.3001,67295,290.3335,0.4921,0.9838,0.6315,0.8208,1.1487,0.9049,CERCEVELIK
80847,1154.282,485.1506,212.8162,81690,320.8389,0.8987,0.9897,0.7678,0.7625,2.2797,0.6613,URGUP_SIVRISI
86344,1164.476,472.9563,233.3873,87249,331.5669,0.8698,0.9896,0.7207,0.8002,2.0265,0.7011,CERCEVELIK
73128,1105.963,466.2476,200.6775,73703,305.1384,0.9026,0.9922,0.6226,0.7513,2.3234,0.6545,URGUP_SIVRISI
88037,1143.45,428.9861,262.1492,88881,334.8017,0.7916,0.9905,0.7283,0.8461,1.6364,0.7804,CERCEVELIK
68588,1030.694,414.1802,211.932,69347,295.5147,0.8592,0.9891,0.6175,0.8113,1.9543,0.7135,CERCEVELIK
116981,1417.789,597.3815,250.2664,118076,385.9337,0.908,0.9907,0.6351,0.7313,2.387,0.646,URGUP_SIVRISI
100776,1255.205,508.0023,253.535,101767,358.2066,0.8666,0.9903,0.674,0.8038,2.0037,0.7051,URGUP_SIVRISI
90346,1173.761,462.2198,250.0358,91444,339.1638,0.8411,0.988,0.7412,0.8241,1.8486,0.7338,CERCEVELIK
73159,1073.67,434.2372,214.9326,73874,305.2031,0.8689,0.9903,0.7034,0.7975,2.0203,0.7028,CERCEVELIK
74336,1105.654,461.9574,205.3545,74955,307.6484,0.8958,0.9917,0.75,0.7641,2.2496,0.666,URGUP_SIVRISI
66125,1055.77,443.1698,191.9069,66757,290.1602,0.9014,0.9905,0.7262,0.7455,2.3093,0.6547,URGUP_SIVRISI
73755,1093.952,438.5435,215.4774,74864,306.4438,0.871,0.9852,0.5919,0.7745,2.0352,0.6988,CERCEVELIK
57366,947.175,390.9684,187.5697,57852,270.2604,0.8774,0.9916,0.743,0.8035,2.0844,0.6913,URGUP_SIVRISI
108392,1360.61,565.6282,245.2117,109408,371.4956,0.9011,0.9907,0.5901,0.7358,2.3067,0.6568,URGUP_SIVRISI
104566,1400.499,613.415,219.4158,105550,364.8802,0.9338,0.9907,0.7624,0.6699,2.7957,0.5948,URGUP_SIVRISI
69655,1082.498,455.8138,195.0643,70513,297.8045,0.9038,0.9878,0.7149,0.747,2.3367,0.6533,URGUP_SIVRISI
90106,1300.553,501.3463,231.4713,91944,338.713,0.887,0.98,0.6802,0.6694,2.1659,0.6756,URGUP_SIVRISI
71311,1036.339,410.6743,222.1935,72149,301.3237,0.841,0.9884,0.7392,0.8344,1.8483,0.7337,CERCEVELIK
65453,1041.835,433.845,193.0942,66027,288.6821,0.8955,0.9913,0.5797,0.7578,2.2468,0.6654,URGUP_SIVRISI
61215,951.511,369.4055,212.7202,61936,279.1798,0.8176,0.9884,0.6779,0.8497,1.7366,0.7558,CERCEVELIK
87034,1121.454,418.2299,266.7236,88121,332.8891,0.7702,0.9877,0.7035,0.8696,1.568,0.7959,CERCEVELIK
88345,1144.065,445.9253,253.1178,89255,335.3869,0.8233,0.9898,0.7489,0.8482,1.7617,0.7521,CERCEVELIK
66728,1006.806,400.8477,213.2038,67373,291.4802,0.8468,0.9904,0.7201,0.8272,1.8801,0.7272,CERCEVELIK
94940,1221.537,488.8275,248.7931,96135,347.68,0.8608,0.9876,0.7417,0.7996,1.9648,0.7113,CERCEVELIK
79094,1067.391,391.1249,257.9062,79802,317.3415,0.7518,0.9911,0.749,0.8724,1.5165,0.8114,CERCEVELIK
69799,1015.895,398.9903,223.4717,70476,298.1121,0.8284,0.9904,0.7461,0.8499,1.7854,0.7472,CERCEVELIK
71097,1033.833,401.273,226.8436,71757,300.8713,0.8249,0.9908,0.6622,0.8359,1.7689,0.7498,CERCEVELIK
84484,1144.337,448.2374,242.6751,86046,327.9762,0.8408,0.9818,0.7272,0.8107,1.8471,0.7317,CERCEVELIK
96211,1169.304,418.7244,293.4921,97138,349.9995,0.7132,0.9905,0.7516,0.8843,1.4267,0.8359,CERCEVELIK
74143,1192.175,448.3368,212.2402,75809,307.2488,0.8809,0.978,0.6325,0.6555,2.1124,0.6853,URGUP_SIVRISI
84236,1274.656,456.9323,237.154,85248,327.4944,0.8548,0.9881,0.6104,0.6515,1.9267,0.7167,URGUP_SIVRISI
58684,917.482,355.8436,210.4503,59202,273.3474,0.8064,0.9913,0.7156,0.8761,1.6909,0.7682,CERCEVELIK
73703,1065.98,422.3591,223.3923,74461,306.3357,0.8487,0.9898,0.638,0.8151,1.8907,0.7253,CERCEVELIK
79906,1118.411,429.4565,237.9886,80912,318.9663,0.8324,0.9876,0.6869,0.8028,1.8045,0.7427,CERCEVELIK
72988,1070.86,437.041,213.7485,73539,304.8462,0.8722,0.9925,0.6372,0.7998,2.0447,0.6975,URGUP_SIVRISI
94954,1210.977,474.3818,257.0043,96121,347.7056,0.8405,0.9879,0.7243,0.8137,1.8458,0.733,CERCEVELIK
72664,1051.94,417.1807,223.9071,73380,304.1688,0.8438,0.9902,0.6437,0.8252,1.8632,0.7291,CERCEVELIK
86429,1116.46,429.9511,257.0631,87142,331.73,0.8016,0.9918,0.7385,0.8713,1.6726,0.7716,CERCEVELIK
72286,1052.386,421.8169,218.8018,73030,303.3767,0.8549,0.9898,0.641,0.8202,1.9278,0.7192,CERCEVELIK
71468,1032.146,405.0498,226.059,72145,301.6552,0.8298,0.9906,0.7124,0.843,1.7918,0.7447,CERCEVELIK
81230,1165.571,492.0282,210.8851,81945,321.598,0.9035,0.9913,0.7597,0.7514,2.3332,0.6536,URGUP_SIVRISI
79177,1094.158,432.9876,233.1767,79966,317.5079,0.8426,0.9901,0.6601,0.8311,1.8569,0.7333,CERCEVELIK
64557,962.801,371.5194,222.7375,65056,286.6994,0.8004,0.9923,0.7197,0.8751,1.668,0.7717,CERCEVELIK
73972,1082.562,431.518,219.077,75032,306.8942,0.8615,0.9859,0.6127,0.7932,1.9697,0.7112,CERCEVELIK
85893,1244.185,532.9415,205.9913,86843,330.6998,0.9223,0.9891,0.7696,0.6973,2.5872,0.6205,URGUP_SIVRISI
75637,1167.733,508.1467,190.1601,76383,310.3289,0.9273,0.9902,0.6694,0.697,2.6722,0.6107,URGUP_SIVRISI
110771,1315.335,532.7753,265.7833,112195,375.5503,0.8667,0.9873,0.6934,0.8046,2.0045,0.7049,URGUP_SIVRISI
77106,1101.604,449.4759,219.1738,77787,313.328,0.8731,0.9912,0.7336,0.7984,2.0508,0.6971,URGUP_SIVRISI
62615,1102.542,392.9788,206.4167,64422,282.3542,0.8509,0.972,0.6337,0.6473,1.9038,0.7185,CERCEVELIK
72433,1082.509,440.8155,210.3908,73140,303.685,0.8788,0.9903,0.7269,0.7768,2.0952,0.6889,CERCEVELIK
91175,1271.51,543.4178,215.2632,91936,340.7163,0.9182,0.9917,0.7695,0.7087,2.5244,0.627,URGUP_SIVRISI
70878,1156.593,419.7653,217.002,71932,300.4075,0.856,0.9853,0.7445,0.6658,1.9344,0.7157,CERCEVELIK
100505,1212.461,462.001,278.3735,101522,357.7247,0.7981,0.99,0.7302,0.8591,1.6596,0.7743,CERCEVELIK
118751,1468.224,629.723,240.9782,120036,388.8425,0.9239,0.9893,0.744,0.6922,2.6132,0.6175,URGUP_SIVRISI
80687,1193.75,504.9143,205.8183,81468,320.5213,0.9131,0.9904,0.682,0.7115,2.4532,0.6348,URGUP_SIVRISI
70175,1029.917,390.8671,229.4874,70940,298.914,0.8095,0.9892,0.7329,0.8314,1.7032,0.7647,CERCEVELIK
92741,1190.617,473.0509,250.7205,93415,343.6299,0.848,0.9928,0.6655,0.8221,1.8868,0.7264,URGUP_SIVRISI
63038,1000.483,392.8086,206.9633,64034,283.3063,0.8499,0.9844,0.7457,0.7914,1.898,0.7212,URGUP_SIVRISI
70023,1023.404,391.8565,230.0101,70867,298.5901,0.8096,0.9881,0.7276,0.8401,1.7036,0.762,CERCEVELIK
103042,1223.292,455.1749,289.9712,104062,362.2115,0.7708,0.9902,0.7566,0.8653,1.5697,0.7958,CERCEVELIK
58433,913.194,342.5092,218.3305,58984,272.7622,0.7705,0.9907,0.7517,0.8805,1.5688,0.7964,CERCEVELIK
65517,970.276,379.0583,220.5561,66006,288.8232,0.8133,0.9926,0.7536,0.8745,1.7186,0.7619,CERCEVELIK
67977,986.403,379.36,228.8949,68475,294.1955,0.7975,0.9927,0.7494,0.8779,1.6574,0.7755,CERCEVELIK
60885,938.94,360.6506,215.7316,61411,278.4263,0.8014,0.9914,0.7439,0.8678,1.6718,0.772,CERCEVELIK
88939,1228.135,487.287,235.4554,90454,336.5125,0.8755,0.9833,0.5532,0.741,2.0696,0.6906,URGUP_SIVRISI
71038,1108.191,464.4989,196.329,71782,300.7464,0.9063,0.9896,0.7628,0.7269,2.3659,0.6475,URGUP_SIVRISI
63907,1037.464,432.1567,189.4292,64654,285.2524,0.8988,0.9884,0.6296,0.7461,2.2814,0.6601,URGUP_SIVRISI
65320,1001.012,399.9118,210.6512,66404,288.3886,0.85,0.9837,0.6542,0.8192,1.8985,0.7211,CERCEVELIK
71912,1044.044,416.6652,220.6137,72499,302.5908,0.8483,0.9919,0.7474,0.829,1.8887,0.7262,URGUP_SIVRISI
79174,1194.821,515.6061,196.5615,79957,317.5019,0.9245,0.9902,0.5387,0.6969,2.6231,0.6158,URGUP_SIVRISI
67440,1041.388,417.9546,206.9024,68744,293.0312,0.8689,0.981,0.7312,0.7815,2.0201,0.7011,CERCEVELIK
64286,1028.115,428.4965,191.4254,64847,286.097,0.8947,0.9913,0.7221,0.7643,2.2385,0.6677,URGUP_SIVRISI
89243,1226.934,515.7186,221.1813,89988,337.0871,0.9034,0.9917,0.5553,0.745,2.3317,0.6536,URGUP_SIVRISI
65627,974.981,378.4164,221.508,66278,289.0655,0.8108,0.9902,0.7476,0.8676,1.7084,0.7639,CERCEVELIK
68805,1048.514,427.2525,205.8875,69472,295.9818,0.8762,0.9904,0.7786,0.7865,2.0752,0.6928,CERCEVELIK
56718,973.293,408.9173,177.0455,57147,268.7296,0.9014,0.9925,0.6937,0.7524,2.3097,0.6572,URGUP_SIVRISI
87484,1147.175,438.5324,256.1463,88362,333.7485,0.8117,0.9901,0.7197,0.8354,1.712,0.7611,CERCEVELIK
78779,1110.366,447.7541,225.5164,79489,316.7089,0.8639,0.9911,0.7223,0.8029,1.9855,0.7073,URGUP_SIVRISI
82959,1137.98,454.3305,234.7716,83835,325.0026,0.8561,0.9896,0.6897,0.805,1.9352,0.7153,CERCEVELIK
82366,1198.457,510.9901,206.0456,83517,323.8389,0.9151,0.9862,0.731,0.7206,2.48,0.6337,URGUP_SIVRISI
70157,1082.42,439.3814,207.2196,71181,298.8757,0.8818,0.9856,0.5952,0.7525,2.1204,0.6802,URGUP_SIVRISI
83005,1234.751,539.6816,196.7117,83725,325.0927,0.9312,0.9914,0.575,0.6842,2.7435,0.6024,URGUP_SIVRISI
97634,1331.159,578.8667,216.7532,98397,352.5783,0.9272,0.9922,0.737,0.6924,2.6706,0.6091,URGUP_SIVRISI
